CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
71.27,71.01,71.54,0.000,17.8,62.2
71.62,71.39,71.85,0.100,17.8,62.2
71.78,71.57,71.99,0.199,17.8,62.1
71.82,71.72,71.92,0.299,17.8,62.1
71.92,71.84,71.99,0.400,17.8,62.1
71.51,71.12,71.91,0.500,17.8,62.2
71.44,71.17,71.71,0.599,17.8,62.2
71.56,71.71,71.41,0.699,17.8,62.2
71.49,70.95,72.04,0.800,17.8,62.2
71.51,70.62,72.41,0.900,17.8,62.1
71.32,71.09,71.54,0.999,17.8,62.2
71.57,71.13,72.01,1.099,17.8,62.1
71.59,70.95,72.23,1.203,17.8,62.1
71.60,71.12,72.08,1.300,17.8,62.2
71.54,71.25,71.83,1.399,17.8,62.2
71.45,71.34,71.56,1.499,17.8,62.1
71.19,70.99,71.40,1.600,17.8,62.2
71.47,71.31,71.63,1.699,17.8,62.1
70.79,70.38,71.20,1.799,17.8,62.2
70.04,70.05,70.03,1.900,17.8,62.2
69.42,69.51,69.34,2.000,17.8,62.2
68.62,68.29,68.96,2.099,17.8,62.2
68.06,67.17,68.96,2.202,17.8,62.2
67.25,66.78,67.72,2.299,17.8,62.1
66.75,66.66,66.85,2.400,17.8,62.1
65.33,65.42,65.25,2.499,17.8,62.2
64.83,64.94,64.71,2.600,17.8,62.1
63.79,63.49,64.08,2.700,17.9,62.1
63.23,63.50,62.97,2.799,17.9,62.2
61.96,61.56,62.37,2.899,17.8,62.1
61.07,60.84,61.30,2.999,17.8,62.1
59.98,60.10,59.87,3.100,17.8,62.2
58.92,58.87,58.98,3.199,17.8,62.2
58.53,58.63,58.43,3.299,17.8,62.1
57.02,57.70,56.33,3.400,17.8,62.1
55.75,56.10,55.41,3.500,17.9,62.2
54.63,54.64,54.61,3.599,17.9,62.2
53.65,53.70,53.61,3.699,17.9,62.1
53.17,52.94,53.39,3.800,17.9,62.1
52.32,52.01,52.63,3.900,17.8,62.1
51.48,51.13,51.82,3.999,17.9,62.2
50.38,49.78,50.99,4.100,17.9,62.1
48.95,48.46,49.43,4.200,17.8,62.1
48.34,48.05,48.63,4.299,17.9,62.1
47.12,47.43,46.81,4.399,17.8,62.1
46.28,46.07,46.49,4.499,17.8,62.1
45.38,45.10,45.66,4.600,17.8,62.1
44.55,43.85,45.25,4.699,17.8,62.1
44.17,44.15,44.18,4.800,18.0,62.1
43.77,44.10,43.44,4.900,18.1,61.9
43.62,43.17,44.08,5.000,18.3,61.7
42.95,43.12,42.77,5.099,18.5,61.5
42.72,43.34,42.11,5.200,18.7,61.4
43.03,43.53,42.54,5.299,18.8,61.2
43.81,43.56,44.06,5.400,19.0,60.9
43.74,43.91,43.57,5.499,19.2,60.6
42.87,42.81,42.92,5.599,19.3,60.4
42.75,42.87,42.62,5.700,19.5,60.2
42.75,42.25,43.26,5.799,19.7,59.9
43.10,42.81,43.38,5.899,19.9,59.6
43.32,43.00,43.65,6.000,20.1,59.5
43.33,44.30,42.36,6.101,20.3,59.2
42.57,42.92,42.22,6.199,20.6,58.9
43.30,43.41,43.19,6.299,20.8,58.6
42.44,41.78,43.10,6.400,21.0,58.4
42.45,41.90,42.99,6.500,21.2,58.2
42.18,41.39,42.98,6.599,21.5,57.9
42.24,42.27,42.20,6.700,21.8,57.6
42.68,42.42,42.93,6.799,22.1,57.4
42.66,42.53,42.79,6.900,22.4,57.2
42.25,41.55,42.95,6.999,22.7,56.9
42.14,41.80,42.49,7.099,23.0,56.6
42.00,41.80,42.19,7.200,23.3,56.3
41.51,41.38,41.64,7.299,23.6,56.0
42.00,42.45,41.54,7.399,24.1,55.6
41.20,41.00,41.41,7.500,24.4,55.3
41.84,42.52,41.15,7.600,24.7,54.9
42.07,42.10,42.04,7.699,25.1,54.3
41.76,42.37,41.14,7.799,25.5,53.9
40.88,40.98,40.78,7.899,25.9,53.4
40.18,40.21,40.16,8.000,26.3,52.8
40.74,40.14,41.34,8.099,26.7,52.3
40.27,39.77,40.77,8.202,27.3,51.8
71.49,71.56,71.42,0.000,17.3,61.9
71.87,71.89,71.84,0.101,17.4,61.9
71.83,72.02,71.64,0.200,17.4,61.9
71.28,71.15,71.41,0.300,17.4,61.9
71.65,71.72,71.59,0.400,17.4,61.9
71.73,71.83,71.64,0.501,17.4,61.9
71.21,70.72,71.69,0.600,17.3,61.9
71.64,71.87,71.41,0.700,17.4,61.9
71.41,71.53,71.29,0.800,17.4,61.9
71.60,71.70,71.51,0.901,17.4,61.9
71.64,71.58,71.71,1.000,17.3,61.9
71.44,70.87,72.01,1.100,17.3,61.9
71.70,72.04,71.37,1.200,17.4,61.9
71.08,70.57,71.59,1.301,17.3,61.9
71.57,72.09,71.05,1.400,17.4,61.9
71.66,71.64,71.69,1.500,17.3,61.9
71.20,70.91,71.48,1.601,17.3,61.9
71.46,71.34,71.57,1.700,17.3,61.9
71.56,71.24,71.89,1.800,17.3,61.9
71.16,71.07,71.24,1.900,17.3,61.9
71.52,71.69,71.35,2.001,17.3,61.9
71.47,71.26,71.67,2.100,17.3,61.9
71.40,71.36,71.44,2.200,17.3,61.9
71.05,70.68,71.42,2.300,17.3,61.9
71.16,71.32,71.01,2.401,17.3,61.9
71.30,71.35,71.25,2.500,17.4,61.9
71.11,70.84,71.38,2.600,17.3,61.9
70.94,70.72,71.16,2.700,17.3,61.9
71.22,71.26,71.19,2.801,17.3,61.9
70.71,70.59,70.83,2.900,17.4,61.9
70.13,69.69,70.56,3.000,17.3,61.9
69.75,69.71,69.79,3.101,17.3,61.9
68.86,68.39,69.34,3.200,17.3,61.9
68.17,68.09,68.25,3.300,17.3,61.9
67.43,67.21,67.65,3.400,17.3,61.9
66.51,65.96,67.05,3.501,17.3,61.9
65.99,65.88,66.09,3.600,17.3,61.9
65.00,65.08,64.92,3.700,17.3,61.9
64.29,63.92,64.66,3.801,17.4,61.9
62.89,62.46,63.33,3.901,17.3,61.9
62.04,61.74,62.34,4.000,17.3,61.9
61.45,61.39,61.50,4.100,17.4,61.9
60.56,60.02,61.09,4.200,17.4,61.9
59.34,59.17,59.52,4.301,17.4,61.9
58.43,58.37,58.49,4.400,17.4,61.9
57.70,57.30,58.10,4.500,17.4,61.9
55.81,55.47,56.16,4.601,17.4,61.9
55.41,55.29,55.54,4.700,17.4,61.9
53.89,53.77,54.02,4.800,17.4,61.9
53.08,52.71,53.45,4.900,17.3,61.9
52.03,51.51,52.56,5.001,17.3,61.9
51.35,51.65,51.06,5.100,17.4,61.9
50.67,50.48,50.86,5.200,17.4,61.9
49.48,49.04,49.92,5.300,17.4,61.9
48.63,48.29,48.96,5.401,17.4,61.9
47.52,46.70,48.34,5.500,17.3,61.9
46.19,46.17,46.21,5.600,17.4,61.9
46.28,45.21,47.34,5.701,17.3,61.8
45.60,45.15,46.05,5.801,17.4,61.8
44.58,43.80,45.36,5.900,17.4,61.8
43.89,43.37,44.42,6.000,17.5,61.7
43.02,42.72,43.32,6.101,17.6,61.6
43.76,43.90,43.62,6.200,17.7,61.4
42.86,42.60,43.11,6.300,17.9,61.3
43.09,42.84,43.33,6.400,18.0,61.1
42.71,42.42,42.99,6.501,18.2,60.9
42.80,42.87,42.74,6.600,18.3,60.7
42.27,42.52,42.03,6.700,18.4,60.5
41.63,41.75,41.51,6.800,18.6,60.2
41.28,41.05,41.50,6.901,18.7,60.1
41.79,41.47,42.12,7.000,18.9,59.8
41.75,41.68,41.83,7.100,19.1,59.5
41.58,41.51,41.65,7.200,19.2,59.2
41.39,41.05,41.72,7.301,19.4,59.0
41.65,41.12,42.18,7.400,19.6,58.8
41.83,41.25,42.41,7.500,19.9,58.5
41.56,41.10,42.03,7.600,20.1,58.3
40.85,40.19,41.50,7.700,20.3,58.0
40.65,40.62,40.68,7.800,20.6,57.8
41.00,40.36,41.65,7.900,20.9,57.6
41.38,41.20,41.56,8.001,21.2,57.3
41.34,41.79,40.89,8.100,21.6,57.1
41.01,40.54,41.48,8.200,21.8,56.8
41.66,41.61,41.70,8.300,22.1,56.4
42.05,42.10,42.01,8.401,22.5,56.1
41.30,41.35,41.24,8.500,22.7,55.7
41.22,41.22,41.22,8.600,23.2,55.3
41.48,41.56,41.39,8.701,23.5,54.8
41.36,41.46,41.26,8.801,23.8,54.4
42.23,42.81,41.65,8.900,24.1,53.9
41.60,41.03,42.18,9.000,24.5,53.3
41.35,41.14,41.57,9.100,24.7,52.8
40.91,40.70,41.12,9.200,25.2,52.2
40.58,40.44,40.72,9.300,25.5,51.5
40.97,41.12,40.82,9.400,26.1,50.9
70.66,70.34,70.98,0.000,17.9,62.8
70.89,70.62,71.16,0.100,17.9,62.9
70.96,70.83,71.09,0.200,17.9,62.9
70.77,70.36,71.18,0.300,17.9,62.8
70.53,70.01,71.06,0.400,17.9,62.8
70.46,69.94,70.98,0.500,17.9,62.9
70.79,70.86,70.73,0.600,17.9,62.8
70.55,70.42,70.67,0.700,17.9,62.9
70.66,70.23,71.09,0.800,17.9,62.9
70.56,70.37,70.75,0.900,17.9,62.9
70.42,70.04,70.81,1.000,17.9,62.8
70.69,70.51,70.86,1.100,17.9,62.9
70.54,70.47,70.62,1.200,17.9,62.9
70.74,70.49,70.99,1.301,17.9,62.8
70.54,69.98,71.11,1.400,17.9,62.8
70.63,70.86,70.40,1.500,17.9,62.9
70.86,70.61,71.11,1.600,17.9,62.8
70.48,70.00,70.95,1.700,17.9,62.8
70.60,70.44,70.76,1.801,17.9,62.8
70.53,70.18,70.88,1.900,17.9,62.9
70.59,70.61,70.57,2.000,17.9,62.8
70.70,70.72,70.68,2.100,17.9,62.8
70.68,70.45,70.90,2.201,17.9,62.8
70.42,69.92,70.93,2.300,17.9,62.8
70.66,70.63,70.69,2.400,17.9,62.9
70.46,70.04,70.89,2.500,17.9,62.8
69.85,69.65,70.05,2.600,17.9,62.8
69.78,69.79,69.77,2.700,17.9,62.9
69.12,68.57,69.68,2.800,17.9,62.9
68.55,68.31,68.79,2.900,17.9,62.8
67.97,68.09,67.85,3.000,17.9,62.9
67.00,66.93,67.08,3.100,17.9,62.9
66.09,66.14,66.05,3.200,17.8,62.9
65.10,64.76,65.45,3.300,17.9,62.8
64.11,63.48,64.75,3.400,17.9,62.8
63.80,63.63,63.97,3.500,17.9,62.9
62.79,62.78,62.81,3.601,17.9,62.8
61.42,61.21,61.62,3.700,17.9,62.9
60.85,60.97,60.73,3.800,17.9,62.8
59.54,59.32,59.75,3.900,17.9,62.8
58.50,58.21,58.80,4.000,17.9,62.9
57.67,57.13,58.20,4.100,17.9,62.9
56.69,57.08,56.29,4.200,17.9,62.9
55.39,55.42,55.36,4.300,17.9,62.9
54.64,54.41,54.86,4.400,17.9,62.9
53.70,53.86,53.54,4.500,17.9,62.9
52.36,52.27,52.45,4.600,17.9,62.9
51.69,51.49,51.90,4.700,17.9,62.9
50.78,50.08,51.49,4.800,17.9,62.8
50.44,50.89,49.99,4.900,17.9,62.9
49.16,48.87,49.45,5.000,17.9,62.9
48.47,48.53,48.41,5.100,17.9,62.9
47.83,47.44,48.23,5.200,17.9,62.9
46.13,45.84,46.42,5.301,17.9,62.9
45.54,45.53,45.55,5.400,17.9,62.9
44.98,44.38,45.59,5.500,17.9,62.8
44.13,44.35,43.90,5.600,17.9,62.8
43.52,42.52,44.53,5.700,18.0,62.6
43.42,43.70,43.13,5.800,18.1,62.6
43.97,43.84,44.10,5.900,18.2,62.3
43.10,42.53,43.68,6.000,18.3,62.2
42.70,42.69,42.71,6.100,18.4,62.1
41.81,41.66,41.95,6.200,18.6,61.9
42.27,41.83,42.72,6.300,18.7,61.7
41.72,42.05,41.38,6.400,18.9,61.6
41.70,42.08,41.32,6.500,19.0,61.3
42.48,41.75,43.21,6.600,19.3,61.1
41.73,41.65,41.80,6.700,19.4,60.9
41.73,41.69,41.76,6.800,19.5,60.5
41.92,41.27,42.56,6.900,19.8,60.3
41.73,41.74,41.71,7.000,20.0,60.1
41.29,40.71,41.87,7.100,20.3,59.8
40.90,40.77,41.03,7.200,20.4,59.6
41.61,41.43,41.78,7.300,20.6,59.2
41.16,41.41,40.91,7.400,20.9,59.0
41.57,41.85,41.28,7.500,21.1,58.7
41.72,41.64,41.79,7.600,21.4,58.4
41.61,41.35,41.87,7.700,21.7,58.1
41.02,41.26,40.79,7.800,21.9,57.8
41.08,40.97,41.20,7.900,22.1,57.5
40.73,40.24,41.21,8.000,22.4,57.0
40.47,39.79,41.16,8.100,22.6,56.8
40.53,40.13,40.92,8.200,23.1,56.3
39.86,39.26,40.47,8.300,23.3,56.0
39.53,38.04,41.01,8.400,23.7,55.6
38.90,37.81,39.99,8.500,24.1,55.2
38.54,37.48,39.60,8.600,24.4,54.8
37.67,37.12,38.23,8.699,24.8,54.3
37.59,36.81,38.37,8.800,25.3,53.9
36.75,35.53,37.98,8.900,25.7,53.4
36.15,35.34,36.96,9.001,26.2,52.8
35.88,34.61,37.15,9.100,26.7,52.2
33.15,32.32,33.98,9.200,27.3,51.6
31.37,29.68,33.06,9.300,28.0,51.0
70.33,70.55,70.12,0.000,18.1,62.9
69.82,69.85,69.79,0.100,18.1,62.9
70.25,70.18,70.33,0.199,18.1,63.0
69.93,70.20,69.65,0.299,18.1,62.9
70.37,70.62,70.12,0.400,18.1,62.9
69.88,69.61,70.15,0.500,18.1,62.9
70.48,70.89,70.07,0.599,18.1,62.9
69.96,69.84,70.09,0.699,18.1,62.9
70.09,69.92,70.26,0.800,18.1,62.9
70.47,70.73,70.20,0.900,18.1,62.9
69.99,69.91,70.08,1.001,18.1,62.9
70.30,70.31,70.28,1.100,18.1,62.9
70.36,70.58,70.14,1.200,18.1,62.9
69.90,69.96,69.83,1.300,18.1,62.9
70.48,70.92,70.03,1.399,18.1,62.9
70.17,70.41,69.93,1.500,18.1,62.9
70.20,70.11,70.29,1.600,18.1,62.9
70.13,70.65,69.61,1.699,18.2,62.9
69.97,69.68,70.26,1.799,18.1,62.9
69.92,69.97,69.87,1.900,18.1,62.9
69.85,70.21,69.48,2.000,18.1,62.9
69.92,70.02,69.82,2.099,18.1,63.0
70.42,70.65,70.19,2.199,18.1,62.9
70.02,70.08,69.95,2.300,18.1,62.9
69.94,70.15,69.74,2.400,18.1,62.9
70.03,70.09,69.97,2.499,18.1,62.9
70.42,70.63,70.22,2.599,18.1,62.9
69.89,69.77,70.01,2.700,18.1,62.9
69.83,70.00,69.65,2.800,18.1,62.9
70.06,69.91,70.21,2.899,18.1,62.9
70.38,70.62,70.13,3.002,18.1,62.9
69.85,70.03,69.67,3.100,18.1,62.9
70.13,70.19,70.08,3.199,18.1,62.9
70.09,70.14,70.04,3.299,18.1,62.9
69.86,69.81,69.91,3.400,18.1,62.9
69.88,69.49,70.27,3.500,18.1,62.9
69.46,69.84,69.07,3.599,18.1,62.9
69.28,69.22,69.34,3.700,18.1,62.9
68.44,67.99,68.89,3.800,18.1,62.9
67.34,67.26,67.43,3.900,18.1,62.9
67.33,67.28,67.39,3.999,18.1,62.9
66.23,65.83,66.63,4.099,18.1,62.9
65.51,65.15,65.87,4.200,18.1,62.9
64.54,64.53,64.55,4.299,18.1,62.9
63.60,63.52,63.68,4.399,18.1,62.9
63.12,63.36,62.88,4.500,18.2,62.9
62.07,62.06,62.08,4.600,18.2,62.9
61.14,60.91,61.38,4.699,18.1,62.9
60.29,60.48,60.10,4.799,18.1,62.9
59.04,59.33,58.76,4.900,18.1,62.9
57.98,58.46,57.51,5.000,18.1,63.0
57.68,57.74,57.62,5.099,18.2,62.9
56.36,56.86,55.87,5.199,18.2,62.9
55.60,55.78,55.41,5.300,18.1,62.9
54.37,54.39,54.35,5.400,18.1,62.9
53.65,53.84,53.47,5.499,18.1,62.9
52.03,52.57,51.48,5.599,18.2,62.9
51.56,52.26,50.86,5.700,18.2,62.9
50.37,50.32,50.41,5.800,18.2,62.9
49.26,50.01,48.52,5.899,18.2,62.9
48.59,48.73,48.45,5.999,18.2,62.9
47.25,47.67,46.84,6.100,18.1,62.9
47.36,47.80,46.92,6.200,18.2,62.9
46.42,47.00,45.83,6.299,18.2,62.9
45.16,45.31,45.00,6.399,18.1,62.9
43.80,43.78,43.83,6.500,18.2,62.9
43.14,43.13,43.15,6.600,18.3,62.8
43.59,43.66,43.53,6.699,18.4,62.6
43.30,43.72,42.88,6.800,18.5,62.5
42.52,42.28,42.77,6.900,18.6,62.3
43.05,43.28,42.82,7.000,18.9,62.1
41.79,41.84,41.74,7.099,19.0,62.0
42.36,42.86,41.86,7.199,19.2,61.8
42.48,42.64,42.32,7.300,19.3,61.7
41.44,41.34,41.54,7.400,19.5,61.5
41.96,41.79,42.13,7.499,19.6,61.3
41.22,41.78,40.66,7.600,19.9,61.1
41.09,41.38,40.79,7.700,20.1,60.9
41.41,41.59,41.23,7.799,20.3,60.7
40.69,41.34,40.04,7.899,20.5,60.4
40.66,40.87,40.45,8.000,20.7,60.2
40.90,41.35,40.44,8.100,20.9,60.1
40.78,41.18,40.37,8.199,21.2,59.7
39.98,40.54,39.42,8.299,21.5,59.5
39.87,40.31,39.43,8.400,21.7,59.2
39.71,40.24,39.18,8.500,21.9,59.0
39.31,39.55,39.06,8.599,22.3,58.7
39.38,39.53,39.22,8.699,22.6,58.4
39.10,39.43,38.77,8.800,23.0,58.2
38.84,39.34,38.34,8.900,23.3,57.8
38.46,38.73,38.19,8.999,23.5,57.6
38.08,38.50,37.67,9.100,23.8,57.3
37.44,38.41,36.48,9.200,24.1,56.9
37.23,38.05,36.40,9.299,24.6,56.6
36.66,37.19,36.13,9.400,24.8,56.2
36.21,36.39,36.03,9.499,25.3,55.9
35.26,35.57,34.95,9.600,25.7,55.6
33.73,33.75,33.70,9.699,26.0,55.2
33.57,32.86,34.28,9.799,26.5,54.7
32.23,31.98,32.48,9.900,27.0,54.4
69.56,68.73,70.39,0.000,18.6,63.0
69.76,68.95,70.56,0.101,18.5,63.0
69.53,68.13,70.93,0.200,18.6,63.0
69.50,68.34,70.67,0.301,18.6,63.0
69.38,68.28,70.48,0.401,18.5,63.0
69.30,68.39,70.21,0.501,18.6,63.0
69.53,68.83,70.23,0.600,18.5,63.0
69.13,67.68,70.58,0.700,18.6,63.0
69.37,68.12,70.62,0.801,18.5,63.0
69.33,68.43,70.23,0.901,18.6,63.0
69.71,68.83,70.60,1.000,18.5,63.0
69.54,68.52,70.57,1.100,18.5,63.0
69.42,68.08,70.75,1.201,18.5,63.0
69.04,67.59,70.48,1.301,18.5,63.0
69.35,68.31,70.38,1.400,18.6,63.0
69.07,68.13,70.00,1.501,18.6,63.0
69.46,68.52,70.41,1.601,18.6,63.0
69.66,68.86,70.46,1.700,18.6,63.0
69.45,68.45,70.45,1.800,18.5,63.0
69.25,68.20,70.29,1.901,18.6,63.0
69.61,69.01,70.21,2.001,18.6,63.1
69.49,68.61,70.38,2.100,18.6,63.0
69.31,68.31,70.31,2.200,18.6,63.0
68.65,67.77,69.52,2.301,18.6,63.0
68.88,67.92,69.83,2.401,18.6,63.0
68.03,66.96,69.10,2.500,18.6,63.0
67.38,66.48,68.27,2.600,18.6,63.0
66.74,65.74,67.75,2.701,18.5,63.0
66.36,65.67,67.05,2.801,18.6,63.0
65.15,64.72,65.58,2.900,18.6,63.1
64.64,63.64,65.64,3.000,18.6,63.0
63.73,62.76,64.70,3.101,18.6,63.0
62.94,62.51,63.37,3.200,18.6,63.0
61.86,61.19,62.53,3.300,18.6,63.0
61.40,60.51,62.28,3.401,18.6,63.0
60.01,59.32,60.71,3.501,18.6,63.0
59.00,58.15,59.84,3.600,18.6,63.0
57.79,56.63,58.95,3.700,18.6,63.0
57.26,56.52,58.01,3.801,18.6,63.0
55.96,54.98,56.94,3.901,18.6,63.0
54.79,53.55,56.02,4.000,18.6,63.0
53.52,53.41,53.64,4.100,18.6,63.0
52.51,52.40,52.62,4.201,18.6,63.0
52.08,51.55,52.61,4.300,18.6,63.0
50.99,50.43,51.55,4.400,18.6,63.0
50.06,49.15,50.98,4.501,18.6,63.0
48.99,48.27,49.71,4.601,18.5,63.0
47.38,47.13,47.63,4.700,18.6,63.0
47.22,46.84,47.61,4.801,18.6,63.0
46.72,46.44,47.00,4.901,18.6,63.0
46.50,46.43,46.58,5.001,18.7,63.0
45.76,45.99,45.52,5.100,18.8,62.9
45.98,46.66,45.31,5.200,18.9,62.8
44.63,45.75,43.52,5.301,19.0,62.7
44.98,45.69,44.28,5.401,19.2,62.6
44.02,43.88,44.16,5.500,19.4,62.3
44.63,44.81,44.44,5.601,19.5,62.3
43.88,44.48,43.29,5.701,19.6,62.1
44.24,44.74,43.75,5.801,19.8,62.0
44.18,44.37,43.99,5.901,20.0,61.8
43.59,43.95,43.23,6.000,20.3,61.6
43.17,43.14,43.19,6.101,20.4,61.4
42.23,42.77,41.70,6.201,20.6,61.3
41.66,41.84,41.48,6.300,20.9,61.1
41.83,42.33,41.33,6.400,21.1,61.0
41.40,41.22,41.57,6.501,21.3,60.8
